2,SSW-114-01-G-S-LL-ND,Headers
3,399-14036-1-ND,0.1uF
4,399-18278-1-ND,10uF
2,497-4547-1-ND,1N5817
4,343-CONBNC002-ND,BNC
1,1528-2619-ND,ItsyBitsyM4
1,13-MFR-25FTE52-1MCT-ND,1M
5,10KADCT-ND,10K
3,13-MFP-25BRD52-4K7CT-ND,4.7K
3,13-MFP-25BRD52-3K3CT-ND,3.3K
2,13-MFP-25BRD52-1KCT-ND,1K
2,3296W-502LF-ND,5K Trim
1,AD8032ANZ-ND,AD8032
1,296-10467-5-ND,TLE2142
1,1951-2699-ND,TMV_0512D
6,36-5012-ND,Test Point
1,563-1579-ND,Switch
1,2449-BSP10TCQ-ND,Button
1,399-9750-ND,6.8pF
